,time_code,emotion_values.grief,emotion_values.joy,emotion_values.disgust,emotion_values.outofbreath,emotion_values.pain,emotion_values.amazement,emotion_values.anger,emotion_values.cheekiness,emotion_values.sadness,emotion_values.fear
0,0.03331249952316284,0.0,3.660368383862078e-05,0.0,0.0,0.0,0.0,0.08990965038537979,0.0,0.0,1.8416234524920583e-05
1,0.06662499904632568,0.0,3.831185676972382e-05,0.0,0.0,0.0,0.0,0.09410542994737625,0.0,0.0,1.9275657905382104e-05
2,0.7666249871253967,0.0,4.1101870010606945e-05,0.0,0.0,0.0,0.0,0.10095854848623276,0.0,0.0,2.0679384761024266e-05
3,0.800000011920929,0.0,4.454288864508271e-05,0.0,0.0,0.0,0.0,0.10941072553396225,0.0,0.0,2.2410649762605317e-05
4,0.8333125114440918,0.0,4.834041101275943e-05,0.0,0.0,0.0,0.0,0.1187385842204094,0.0,0.0,2.4321276214323007e-05
5,0.8666250109672546,0.0,5.2294893976068124e-05,0.0,0.0,0.0,0.0,0.12845197319984436,0.0,0.0,2.6310875909985043e-05
6,0.8999375104904175,0.0,5.6272834626724944e-05,0.0,0.0,0.0,0.0,0.13822300732135773,0.0,0.0,2.8312280846876092e-05
7,0.9333124756813049,0.0,6.018654676154256e-05,0.0,0.0,0.0,0.0,0.14783626794815063,0.0,0.0,3.0281367799034342e-05
8,0.9666249752044678,0.0,6.398002005880699e-05,0.0,0.0,0.0,0.0,0.1571541726589203,0.0,0.0,3.218996062059887e-05
9,1.0,0.0,6.76190757076256e-05,0.0,0.0,0.0,0.0,0.16609278321266174,0.0,0.0,3.4020857128780335e-05
10,1.0333125591278076,0.0,7.108444697223604e-05,0.0,0.0,0.0,0.0,0.17460477352142334,0.0,0.0,3.5764376661973074e-05
11,1.0666249990463257,0.0,0.00042148196371272206,1.3344178114493843e-05,0.0,0.0,0.0,0.18225018680095673,0.0,0.0,3.618818664108403e-05
12,1.100000023841858,0.0,0.0009915339760482311,3.5139673855155706e-05,0.0,0.0,0.0,0.189176544547081,0.0,0.0,3.574131187633611e-05
13,1.133312463760376,0.0,0.0016936924075707793,6.202077929629013e-05,0.0,0.0,0.0,0.19549457728862762,0.0,0.0,3.473452670732513e-05
14,1.1666250228881836,0.0,0.0024681170471012592,9.168686665361747e-05,0.0,0.0,0.0,0.20128881931304932,0.0,0.0,3.3382071706000715e-05
15,1.2000000476837158,0.0,0.0032742677722126245,0.0001225791493197903,0.0,0.0,0.0,0.20662494003772736,0.0,0.0,3.183082662872039e-05
16,1.2333124876022339,0.0,0.004085022024810314,0.00015365469153039157,0.0,0.0,0.0,0.21155506372451782,0.0,0.0,3.018072857230436e-05
17,1.2666250467300415,0.0,0.004882569890469313,0.00018422848370391876,0.0,0.0,0.0,0.21612133085727692,0.0,0.0,2.8499052859842777e-05
18,1.2999999523162842,0.0,0.0056555382907390594,0.00021386296430137008,0.0,0.0,0.0,0.22035852074623108,0.0,0.0,2.6830375645658933e-05
19,1.3333125114440918,0.0,0.006396988872438669,0.00024229107657447457,0.0,0.0,0.0,0.22429600358009338,0.0,0.0,2.5203566110576503e-05
20,1.3666249513626099,0.0,0.007103018928319216,0.00026936247013509274,0.0,0.0,0.0,0.22795891761779785,0.0,0.0,2.3636644982616417e-05
21,1.399999976158142,0.0,0.00777178630232811,0.000295006058877334,0.0,0.0,0.0,0.23136918246746063,0.0,0.0,2.2140191504149698e-05
22,1.4333125352859497,0.0,0.0080598508939147,0.0003058597503695637,0.0,0.0,0.0,0.23495742678642273,0.0,0.0,2.2428004740504548e-05
23,1.4666249752044678,0.0,0.008093426935374737,0.0003068336227443069,0.0,0.0,0.0,0.23859016597270966,0.0,0.0,2.387578206253238e-05
